Epoch 0: Loss 12.66, Reward -20.0, Avgloss 12.66, Avgreward -20.00, Epsilon 0.98, TotalStep 913
Epoch 1: Loss 9.80, Reward -21.0, Avgloss 11.23, Avgreward -20.50, Epsilon 0.97, TotalStep 1755
Epoch 2: Loss 11.47, Reward -20.0, Avgloss 11.31, Avgreward -20.33, Epsilon 0.95, TotalStep 2736
Epoch 3: Loss 11.26, Reward -21.0, Avgloss 11.30, Avgreward -20.50, Epsilon 0.93, TotalStep 3678
Epoch 4: Loss 9.81, Reward -21.0, Avgloss 11.00, Avgreward -20.60, Epsilon 0.92, TotalStep 4516
Epoch 5: Loss 10.98, Reward -19.0, Avgloss 11.00, Avgreward -20.33, Epsilon 0.90, TotalStep 5465
Epoch 6: Loss 9.51, Reward -21.0, Avgloss 10.79, Avgreward -20.43, Epsilon 0.89, TotalStep 6287
Epoch 7: Loss 12.84, Reward -21.0, Avgloss 11.04, Avgreward -20.50, Epsilon 0.87, TotalStep 7387
Epoch 8: Loss 11.24, Reward -20.0, Avgloss 11.06, Avgreward -20.44, Epsilon 0.85, TotalStep 8339
Epoch 9: Loss 9.14, Reward -21.0, Avgloss 10.87, Avgreward -20.50, Epsilon 0.84, TotalStep 9113
Epoch 0: Loss 10.80, Reward -20.0, Avgloss 10.80, Avgreward -20.00, Epsilon 0.98, TotalStep 891
Epoch 1: Loss 9.07, Reward -21.0, Avgloss 9.93, Avgreward -20.50, Epsilon 0.97, TotalStep 1677
Epoch 2: Loss 11.20, Reward -21.0, Avgloss 10.36, Avgreward -20.67, Epsilon 0.95, TotalStep 2655
Epoch 3: Loss 9.31, Reward -21.0, Avgloss 10.09, Avgreward -20.75, Epsilon 0.94, TotalStep 3494
Epoch 4: Loss 9.42, Reward -21.0, Avgloss 9.96, Avgreward -20.80, Epsilon 0.92, TotalStep 4341
Epoch 5: Loss 13.53, Reward -19.0, Avgloss 10.56, Avgreward -20.50, Epsilon 0.90, TotalStep 5577
Epoch 6: Loss 11.24, Reward -18.0, Avgloss 10.65, Avgreward -20.14, Epsilon 0.88, TotalStep 6605
Epoch 7: Loss 11.41, Reward -19.0, Avgloss 10.75, Avgreward -20.00, Epsilon 0.87, TotalStep 7585
Epoch 8: Loss 9.20, Reward -21.0, Avgloss 10.58, Avgreward -20.11, Epsilon 0.85, TotalStep 8435
Epoch 9: Loss 8.90, Reward -21.0, Avgloss 10.41, Avgreward -20.20, Epsilon 0.84, TotalStep 9238
Epoch 10: Loss 8.95, Reward -21.0, Avgloss 10.28, Avgreward -20.27, Epsilon 0.83, TotalStep 10021
Epoch 11: Loss 11.54, Reward -19.0, Avgloss 10.38, Avgreward -20.17, Epsilon 0.81, TotalStep 11056
Epoch 12: Loss 11.11, Reward -21.0, Avgloss 10.44, Avgreward -20.23, Epsilon 0.80, TotalStep 11992
Epoch 13: Loss 10.11, Reward -20.0, Avgloss 10.41, Avgreward -20.21, Epsilon 0.78, TotalStep 12914
Epoch 14: Loss 12.96, Reward -19.0, Avgloss 10.58, Avgreward -20.13, Epsilon 0.77, TotalStep 14067
Epoch 15: Loss 13.05, Reward -19.0, Avgloss 10.74, Avgreward -20.06, Epsilon 0.75, TotalStep 15127
Epoch 16: Loss 8.73, Reward -21.0, Avgloss 10.62, Avgreward -20.12, Epsilon 0.74, TotalStep 15906
Epoch 17: Loss 8.28, Reward -21.0, Avgloss 10.49, Avgreward -20.17, Epsilon 0.73, TotalStep 16721
Epoch 18: Loss 10.22, Reward -20.0, Avgloss 10.48, Avgreward -20.16, Epsilon 0.72, TotalStep 17657
Epoch 19: Loss 9.21, Reward -21.0, Avgloss 10.41, Avgreward -20.20, Epsilon 0.71, TotalStep 18470
Epoch 20: Loss 9.66, Reward -21.0, Avgloss 10.38, Avgreward -20.24, Epsilon 0.70, TotalStep 19341
Epoch 21: Loss 10.29, Reward -19.0, Avgloss 10.37, Avgreward -20.18, Epsilon 0.68, TotalStep 20281
Epoch 22: Loss 10.67, Reward -20.0, Avgloss 10.38, Avgreward -20.17, Epsilon 0.67, TotalStep 21208
Epoch 23: Loss 12.10, Reward -19.0, Avgloss 10.46, Avgreward -20.12, Epsilon 0.66, TotalStep 22230
Epoch 24: Loss 9.37, Reward -21.0, Avgloss 10.41, Avgreward -20.16, Epsilon 0.65, TotalStep 23075
Epoch 25: Loss 11.89, Reward -19.0, Avgloss 10.47, Avgreward -20.12, Epsilon 0.64, TotalStep 24157
Epoch 26: Loss 10.13, Reward -21.0, Avgloss 10.46, Avgreward -20.15, Epsilon 0.63, TotalStep 25036
Epoch 27: Loss 8.77, Reward -21.0, Avgloss 10.40, Avgreward -20.18, Epsilon 0.62, TotalStep 25838
Epoch 28: Loss 9.00, Reward -21.0, Avgloss 10.35, Avgreward -20.21, Epsilon 0.61, TotalStep 26672
Epoch 29: Loss 9.26, Reward -20.0, Avgloss 10.31, Avgreward -20.20, Epsilon 0.60, TotalStep 27533
Epoch 30: Loss 11.45, Reward -20.0, Avgloss 10.35, Avgreward -20.19, Epsilon 0.59, TotalStep 28513
Epoch 31: Loss 9.73, Reward -20.0, Avgloss 10.33, Avgreward -20.19, Epsilon 0.58, TotalStep 29413
Epoch 32: Loss 9.84, Reward -21.0, Avgloss 10.31, Avgreward -20.21, Epsilon 0.57, TotalStep 30289
Epoch 33: Loss 8.69, Reward -21.0, Avgloss 10.27, Avgreward -20.24, Epsilon 0.56, TotalStep 31074
Epoch 34: Loss 10.15, Reward -20.0, Avgloss 10.26, Avgreward -20.23, Epsilon 0.55, TotalStep 31937
Epoch 35: Loss 9.44, Reward -20.0, Avgloss 10.24, Avgreward -20.22, Epsilon 0.54, TotalStep 32771
Epoch 36: Loss 9.61, Reward -21.0, Avgloss 10.22, Avgreward -20.24, Epsilon 0.54, TotalStep 33556
Epoch 37: Loss 9.92, Reward -21.0, Avgloss 10.22, Avgreward -20.26, Epsilon 0.53, TotalStep 34402
Epoch 38: Loss 10.94, Reward -20.0, Avgloss 10.23, Avgreward -20.26, Epsilon 0.52, TotalStep 35314
Epoch 39: Loss 9.64, Reward -21.0, Avgloss 10.22, Avgreward -20.27, Epsilon 0.51, TotalStep 36159
Epoch 40: Loss 9.57, Reward -21.0, Avgloss 10.20, Avgreward -20.29, Epsilon 0.50, TotalStep 36993
Epoch 41: Loss 9.42, Reward -21.0, Avgloss 10.18, Avgreward -20.31, Epsilon 0.50, TotalStep 37815
Epoch 42: Loss 9.40, Reward -21.0, Avgloss 10.17, Avgreward -20.33, Epsilon 0.49, TotalStep 38631
Epoch 43: Loss 12.19, Reward -19.0, Avgloss 10.21, Avgreward -20.30, Epsilon 0.48, TotalStep 39632
Epoch 44: Loss 10.30, Reward -20.0, Avgloss 10.21, Avgreward -20.29, Epsilon 0.47, TotalStep 40532
Epoch 45: Loss 9.73, Reward -21.0, Avgloss 10.20, Avgreward -20.30, Epsilon 0.47, TotalStep 41395
Epoch 46: Loss 9.09, Reward -21.0, Avgloss 10.18, Avgreward -20.32, Epsilon 0.46, TotalStep 42215
Epoch 47: Loss 10.42, Reward -20.0, Avgloss 10.19, Avgreward -20.31, Epsilon 0.45, TotalStep 43155
Epoch 48: Loss 10.27, Reward -21.0, Avgloss 10.19, Avgreward -20.33, Epsilon 0.44, TotalStep 44089
Epoch 49: Loss 8.99, Reward -21.0, Avgloss 10.16, Avgreward -20.34, Epsilon 0.44, TotalStep 44867
Epoch 50: Loss 10.06, Reward -20.0, Avgloss 10.16, Avgreward -20.33, Epsilon 0.43, TotalStep 45742
Epoch 51: Loss 9.65, Reward -21.0, Avgloss 10.15, Avgreward -20.35, Epsilon 0.42, TotalStep 46589
Epoch 52: Loss 8.77, Reward -21.0, Avgloss 10.13, Avgreward -20.36, Epsilon 0.42, TotalStep 47367
Epoch 53: Loss 8.98, Reward -21.0, Avgloss 10.10, Avgreward -20.37, Epsilon 0.41, TotalStep 48155
Epoch 54: Loss 11.99, Reward -20.0, Avgloss 10.14, Avgreward -20.36, Epsilon 0.41, TotalStep 49200
Epoch 55: Loss 9.97, Reward -20.0, Avgloss 10.14, Avgreward -20.36, Epsilon 0.40, TotalStep 50119
Epoch 56: Loss 9.68, Reward -20.0, Avgloss 10.13, Avgreward -20.35, Epsilon 0.39, TotalStep 50953
Epoch 57: Loss 10.21, Reward -20.0, Avgloss 10.13, Avgreward -20.34, Epsilon 0.39, TotalStep 51910
Epoch 58: Loss 9.24, Reward -21.0, Avgloss 10.11, Avgreward -20.36, Epsilon 0.38, TotalStep 52730
